Property,Unit,Meaning,Formula/Calculation,Inputs,Gating/Validity,Clamping/Bds,Update cadence,Code location,Edge cases/Notes
"LalaLaunch.Fuel.LiveFuelPerLap","L/lap","Best-estimate burn for current conditions (wet/dry) from accepted laps.","Rolling average of accepted lap burns; per lap: fuelUsed = lapStartFuel - currentFuel. Wet uses _recentWetFuelLaps, dry uses _recentDryFuelLaps; falls back to DataCorePlugin.Computed.Fuel_LitersPerLap when no accepted laps.","Telemetry: data.NewData.Fuel, data.NewData.MaxFuel, data.NewData.LastLapTime, pit flags, completed laps. Internal: _recentDryFuelLaps/_recentWetFuelLaps, seeds, _lapStartFuel, FuelCalculator.IsWet, GetProfileFuelBaselines().","Lap rejected in pit/warm-up/first lap after pit/incident; fuel delta must be 0.05–20% tank and within 0.5–1.5× baseline.","Window max 5 samples; max fuel-per-lap tracked only if within 0.7–1.8× baseline.","On lap crossing; fallback read each 500 ms tick until first accepted lap.","LalaLaunch.cs UpdateLiveFuelCalcs (~963–1477).","Clears to 0 when no valid samples; prior session seeds may pre-populate." 
"LalaLaunch.Fuel.LapsRemainingInTank","Laps","Estimated laps the current fuel covers at live burn.","currentFuel / LiveFuelPerLap when LiveFuelPerLap > 0, else 0.","Telemetry: data.NewData.Fuel; Fuel.LiveFuelPerLap.","Requires LiveFuelPerLap > 0.","None beyond zero guard.","500 ms fuel tick.","LalaLaunch.cs UpdateLiveFuelCalcs (~1598–1667).","Resets to 0 when fuel-per-lap unavailable." 
"LalaLaunch.Fuel.LiveLapsRemainingInRace","Laps","Projected laps remaining (timed-race aware).","ComputeProjectedLapsRemaining(simLapsRemaining, projectionLapSeconds, sessionTimeRemain, projectedDriveAfterZero); falls back to sim laps when projection invalid.","SimHub IRacingExtraProperties.iRacing_LapsRemainingFloat; lap times via GetProjectionLapSeconds; session time remaining; FuelCalculator.StrategyDriverExtraSecondsAfterZero.","Publishes only when LiveFuelPerLap > 0; uses sim laps if projection 0.","Fallback to sim estimate instead of negative/NaN.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1608–1637); ComputeProjectedLapsRemaining (~3185–3201).","Logs throttled when projection deviates >0.25 laps; handles negative session time with overrun." 
"LalaLaunch.Fuel.DeltaLaps","Laps (surplus + / deficit -)","Lap surplus/deficit to finish at current burn.","DeltaLaps = LapsRemainingInTank - LiveLapsRemainingInRace.","Fuel.LapsRemainingInTank; Fuel.LiveLapsRemainingInRace.","Requires LiveFuelPerLap > 0.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1639–1644).","" 
"LalaLaunch.Fuel.TargetFuelPerLap","L/lap","Max-allowed burn to reach finish when short on fuel.","If DeltaLaps < 0: raw = currentFuel / LiveLapsRemainingInRace; clamp to >= 90% of LiveFuelPerLap. Otherwise 0.","Telemetry currentFuel; Fuel.LiveLapsRemainingInRace; Fuel.LiveFuelPerLap.","Only meaningful when deficit and LiveFuelPerLap valid.","Lower bound 0.9× LiveFuelPerLap.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1646–1664).","" 
"LalaLaunch.Fuel.PushFuelPerLap","L/lap","Aggressive burn guidance for push laps.","Use _maxFuelPerLapSession if >= LiveFuelPerLap; otherwise LiveFuelPerLap * 1.02.","Internal _maxFuelPerLapSession; Fuel.LiveFuelPerLap.","Needs LiveFuelPerLap > 0.","Implicit non-negative via guards.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1752–1762).","" 
"LalaLaunch.Fuel.FuelSavePerLap","L/lap","Conservative burn guidance using minima.","Minimum of wet/dry rolling windows; if none, 0.97 × LiveFuelPerLap.","Internal _minDryFuelPerLap, _minWetFuelPerLap, FuelCalculator.IsWet; Fuel.LiveFuelPerLap.","Needs LiveFuelPerLap > 0.","Implicit non-negative via guards.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1688–1703).","" 
"LalaLaunch.Fuel.DeltaLapsIfPush","Laps","Lap surplus/deficit if driving at push burn.","lapsRemainingIfPush = currentFuel / PushFuelPerLap; DeltaLapsIfPush = lapsRemainingIfPush - LiveLapsRemainingInRace.","Telemetry currentFuel; Fuel.PushFuelPerLap; Fuel.LiveLapsRemainingInRace.","Only when push fuel > 0.","Zero guards on burn rate.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1752–1773).","" 
"LalaLaunch.Fuel.CanAffordToPush","Bool","True when push pace still finishes the race.","DeltaLapsIfPush >= 0.","Fuel.DeltaLapsIfPush.","Requires push fuel > 0.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1752–1773).","" 
"LalaLaunch.Fuel.Confidence","Percent (int)","Stability/quality score of live fuel model.","ComputeFuelModelConfidence uses window size, min/max spread, and baseline sanity to score 0–100.","Rolling windows; baseline fuel; wet/dry mode.","0 when using fallback SimHub estimator.","Implicit bounds 0–100 from scoring.","Set on accepted laps; published each tick.","ComputeFuelModelConfidence (~413–439); UpdateLiveFuelCalcs (~1470–1477).","" 
"LalaLaunch.Pace.StintAvgLapTimeSec","Seconds","Median-filtered stint average of clean laps used for projection when available.","Average of clean laps with median filter; ignores pit/incident/early laps.","Clean lap times, leader deltas (logging).","Requires clean laps; ignores pit/incident laps and early laps.","None.","Lap crossing.","UpdateLiveFuelCalcs (~1208–1305).","" 
"LalaLaunch.Pace.Last5LapAvgSec","Seconds","Mean of last up to 5 clean laps.","Rolling mean of last 5 clean laps.","Clean lap times.","Excludes pit/incident laps.","None.","Lap crossing.","UpdateLiveFuelCalcs (~1208–1305).","" 
"LalaLaunch.Pace.LeaderAvgLapTimeSec","Seconds","Rolling leader pace (debug/logging for projections).","Rolling average of recent leader laps read each lap crossing.","Telemetry leader lap times via ReadLeaderLapTimeSeconds.","Cleared if feed stale/zero; only on new laps.","None.","Lap crossing.","UpdateLiveFuelCalcs (~1001–1189); ReadLeaderLapTimeSeconds (~3257–3334).","" 
"LalaLaunch.Pace.LeaderDeltaToPlayerSec","Seconds","Leader average pace minus player average pace (debug/log).","leaderAvg - playerAvg.","LeaderAvgLapTimeSec; player pace metrics.","Leader feed must be valid.","None.","Lap crossing.","UpdateLiveFuelCalcs (~1115–1189).","" 
"LalaLaunch.Fuel.Pit.TotalNeededToEnd","Litres","Total fuel required from now to finish at current burn.","fuelNeededToEnd = LiveLapsRemainingInRace * LiveFuelPerLap.","Fuel.LiveLapsRemainingInRace; Fuel.LiveFuelPerLap.","0 when LiveFuelPerLap <= 0.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1633–1644).","" 
"LalaLaunch.Fuel.Pit.NeedToAdd","Litres","Additional fuel required to reach finish.","max(0, Fuel.Pit.TotalNeededToEnd - currentFuel).","Telemetry currentFuel; Fuel.Pit.TotalNeededToEnd.","Requires valid fuel per lap.","Clamp min 0.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1666–1677).","" 
"LalaLaunch.Fuel.Pit.TankSpaceAvailable","Litres","Free capacity in tank respecting BoP and overrides.","max(0, maxTankCapacity - currentFuel) where maxTankCapacity = FuelCalculator.MaxFuelOverride or telemetry MaxFuel * DriverCarMaxFuelPct.","Telemetry data.NewData.Fuel, DataCorePlugin.GameData.MaxFuel, DriverInfo.DriverCarMaxFuelPct; FuelCalculator.MaxFuelOverride.","0 if no capacity info.","Clamp min 0.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1679–1701); tank detection (~2823–2833).","" 
"LalaLaunch.Fuel.Pit.WillAdd","Litres","Fuel volume expected to be added given MFD request and capacity.","requestedAddLitres (from PitSvFuel gallons) clamped to TankSpaceAvailable; forced to 0 if refuel not selected.","Telemetry PitSvFuel, dpFuelFill (refuel selected), DataCorePlugin.GameData.Units; Fuel.Pit.TankSpaceAvailable.","0 when refuel not selected or no tank space.","Clamp to tank space.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1669–1698); IsRefuelSelected (~3044–3058).","Refuel defaults to true if telemetry flags missing." 
"LalaLaunch.Fuel.Pit.FuelOnExit","Litres","Expected fuel in tank after pit stop completes.","currentFuel + Fuel.Pit.WillAdd.","Telemetry currentFuel; Fuel.Pit.WillAdd.","0 when invalid fuel-per-lap context.","None beyond addition.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1685–1703).","" 
"LalaLaunch.Fuel.Pit.DeltaAfterStop","Laps","Projected lap surplus/deficit after the planned stop at current burn.","(Fuel.Pit.FuelOnExit / LiveFuelPerLap) - LiveLapsRemainingInRace.","Fuel.Pit.FuelOnExit; Fuel.LiveFuelPerLap; Fuel.LiveLapsRemainingInRace.","0 when burn rate <= 0 or projection invalid.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1695–1704).","" 
"LalaLaunch.Fuel.Pit.FuelSaveDeltaAfterStop","Laps","Projected lap surplus/deficit post-stop at fuel-save burn.","(Fuel.Pit.FuelOnExit / Fuel.FuelSavePerLap) - LiveLapsRemainingInRace.","Fuel.Pit.FuelOnExit; Fuel.FuelSavePerLap; Fuel.LiveLapsRemainingInRace.","0 when burn rate <= 0 or projection invalid.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1695–1704; 1764–1773).","" 
"LalaLaunch.Fuel.Pit.PushDeltaAfterStop","Laps","Projected lap surplus/deficit post-stop at push burn.","(Fuel.Pit.FuelOnExit / Fuel.PushFuelPerLap) - LiveLapsRemainingInRace.","Fuel.Pit.FuelOnExit; Fuel.PushFuelPerLap; Fuel.LiveLapsRemainingInRace.","0 when burn rate <= 0 or projection invalid.","None.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1695–1704; 1764–1773).","" 
"LalaLaunch.Fuel.Pit.StopsRequiredToEnd","Count","Planned remaining stops from strategy or capacity inference.","If FuelCalculator.RequiredPitStops > 0 use it; else if maxTankCapacity > 0 compute ceil((fuelNeededToEnd - currentFuel)/maxTankCapacity) clamped >=0.","FuelCalculator.RequiredPitStops; fuelNeededToEnd; telemetry currentFuel; maxTankCapacity.","0 when inputs invalid.","Clamp min 0.","500 ms fuel tick.","UpdateLiveFuelCalcs (~1706–1721).","" 
